iter	Passed	Remaining
0	34	34930
1	76	38131
2	113	37775
3	154	38535
4	188	37577
5	223	37012
6	255	36194
7	266	33083
8	295	32548
9	324	32137
10	342	30780
11	374	30826
12	394	29936
13	428	30144
14	457	30073
15	477	29375
16	505	29251
17	533	29128
18	565	29186
19	585	28708
20	617	28785
21	632	28125
22	667	28366
23	700	28489
24	731	28528
25	761	28533
26	784	28255
27	813	28239
28	848	28414
29	884	28593
30	914	28589
31	932	28197
32	986	28906
33	1024	29108
34	1055	29089
35	1089	29172
36	1121	29186
37	1149	29106
38	1178	29034
39	1206	28949
40	1234	28873
41	1261	28771
42	1296	28846
43	1329	28878
44	1358	28821
45	1387	28766
46	1415	28698
47	1444	28639
48	1472	28579
49	1502	28538
50	1538	28627
51	1572	28676
52	1601	28615
53	1629	28546
54	1658	28487
55	1674	28225
56	1701	28151
57	1710	27788
58	1736	27688
59	1768	27713
60	1801	27724
61	1830	27699
62	1863	27715
63	1892	27682
64	1905	27412
65	1939	27446
66	1957	27264
67	1983	27181
68	2012	27147
69	2044	27159
70	2070	27087
71	2097	27031
72	2129	27037
73	2151	26924
74	2185	26953
75	2215	26941
76	2232	26765
77	2261	26728
78	2273	26503
79	2299	26446
80	2327	26411
81	2356	26383
82	2380	26300
83	2413	26319
84	2444	26311
85	2474	26296
86	2501	26255
87	2528	26204
88	2560	26211
89	2572	26011
90	2594	25918
91	2628	25945
92	2646	25812
93	2674	25779
94	2702	25744
95	2718	25597
96	2734	25452
97	2762	25425
98	2790	25400
99	2829	25463
100	2860	25461
101	2890	25444
102	2919	25426
103	2950	25419
104	2981	25414
105	3009	25384
106	3041	25380
107	3080	25438
108	3113	25448
109	3147	25466
110	3179	25461
111	3211	25463
112	3247	25487
113	3288	25554
114	3323	25579
115	3354	25563
116	3383	25538
117	3412	25508
118	3440	25472
119	3468	25435
120	3484	25312
121	3511	25274
122	3544	25274
123	3575	25256
124	3602	25218
125	3630	25183
126	3659	25156
127	3687	25124
128	3716	25093
129	3750	25096
130	3778	25064
131	3806	25032
132	3834	24998
133	3864	24975
134	3892	24943
135	3921	24909
136	3952	24898
137	3982	24877
138	4014	24864
139	4044	24842
140	4078	24847
141	4111	24841
142	4131	24758
143	4168	24779
144	4203	24785
145	4235	24773
146	4253	24684
147	4289	24695
148	4321	24681
149	4351	24659
150	4384	24650
151	4414	24626
152	4444	24603
153	4472	24571
154	4500	24533
155	4531	24515
156	4562	24496
157	4589	24459
158	4610	24385
159	4638	24354
160	4667	24322
161	4695	24289
162	4724	24261
163	4752	24225
164	4780	24190
165	4809	24161
166	4840	24143
167	4869	24116
168	4898	24088
169	4927	24057
170	4964	24066
171	4972	23937
172	4991	23861
173	5001	23741
174	5030	23714
175	5047	23630
176	5078	23615
177	5108	23590
178	5144	23595
179	5181	23606
180	5209	23572
181	5244	23569
182	5277	23560
183	5312	23561
184	5348	23561
185	5383	23559
186	5419	23562
187	5455	23564
188	5493	23573
189	5535	23596
190	5568	23585
191	5600	23568
192	5612	23469
193	5620	23350
194	5649	23321
195	5676	23286
196	5703	23248
197	5734	23226
198	5762	23194
199	5792	23170
