iter	Logloss
0	0.6928373756
1	0.6924645489
2	0.6922390481
3	0.6919012823
4	0.6917420723
5	0.6913788672
6	0.6910446951
7	0.6908551734
8	0.6903888062
9	0.6901796301
10	0.6899761422
11	0.6898099581
12	0.689670419
13	0.6895394755
14	0.6893163171
15	0.6890903081
16	0.6889443504
17	0.6888324459
18	0.6885818717
19	0.6884647366
20	0.6882673553
21	0.6880695114
22	0.6880659241
23	0.6878954681
24	0.6876231495
25	0.6872847607
26	0.6869463096
27	0.6866953773
28	0.6865926821
29	0.6863290397
30	0.6859387289
31	0.6857618582
32	0.6854741208
33	0.6850810996
34	0.6849291232
35	0.6847460294
36	0.6845339393
37	0.6843483519
38	0.6840804844
39	0.6838786617
40	0.6836678351
41	0.6834745016
42	0.6832055357
43	0.6828121287
44	0.6825678362
45	0.682252627
46	0.6819795457
47	0.6819170416
48	0.6815664118
49	0.6815303978
50	0.6813097897
51	0.6810270133
52	0.6809254826
53	0.6806156365
54	0.6803624863
55	0.6801438832
56	0.6799455792
57	0.6797875739
58	0.6796699372
59	0.6794571639
60	0.6790092085
61	0.6785326634
62	0.6782249276
63	0.6782225698
64	0.6782022297
65	0.6780445564
66	0.6776080175
67	0.6775438164
68	0.6772061795
69	0.6770403387
70	0.6765896894
71	0.6764920167
72	0.6761874329
73	0.6759252424
74	0.6756949763
75	0.6755015502
76	0.6752866287
77	0.6750702823
78	0.6749373892
79	0.6746861841
80	0.6746438932
81	0.6744804462
82	0.6743570937
83	0.6740510547
84	0.6738665015
85	0.6737714558
86	0.6736449603
87	0.6730971706
88	0.6728387117
89	0.6726622343
90	0.672412489
91	0.672353484
92	0.6720232155
93	0.6717612703
94	0.6715387531
95	0.6714631908
96	0.6712975768
97	0.6710465668
98	0.6707664399
99	0.6705884161
100	0.6704048331
101	0.6701337109
102	0.6699077551
103	0.6698275405
104	0.6696004699
105	0.6693332242
106	0.6692070196
107	0.6691632357
108	0.6690265115
109	0.6690254389
110	0.6690246695
