iter	Logloss
0	0.6914312704
1	0.6900677175
2	0.6888574457
3	0.6877706638
4	0.6865534177
5	0.685425241
6	0.684544195
7	0.6840738437
8	0.6832049338
9	0.6825168588
10	0.6817953914
11	0.6811656206
12	0.6807030275
13	0.6802655547
14	0.6798349568
15	0.6794494417
16	0.6792026457
17	0.6789668935
18	0.6785073142
19	0.6780519603
20	0.6779034488
21	0.6776736625
22	0.6774757824
23	0.6769602602
24	0.6767857202
25	0.6763849963
26	0.67612377
27	0.6758673118
28	0.675615246
29	0.6751704058
30	0.6748482694
31	0.6744864063
32	0.6741469991
33	0.6740745342
34	0.6740273364
35	0.6737640087
36	0.6736063391
37	0.6734545586
38	0.6730940523
39	0.6730227309
40	0.6727568047
41	0.6727402224
42	0.6725408149
43	0.6723682476
44	0.6723597043
45	0.6721443339
46	0.6718819445
47	0.6717175768
48	0.671346379
49	0.671116301
50	0.6707064085
51	0.6707052584
52	0.6705169245
53	0.6702850341
54	0.6699666728
55	0.6697650009
56	0.6694607339
57	0.6691828675
58	0.6690554905
59	0.6686903012
60	0.6686091349
61	0.6683591768
62	0.6680374664
63	0.6678851308
64	0.6677628327
65	0.6676368753
66	0.6672246328
67	0.6671940431
68	0.6669298548
69	0.6665198189
70	0.66644902
71	0.6660065433
72	0.66565987
73	0.665395505
74	0.6651840619
75	0.6649551325
76	0.6645282083
77	0.6644742146
78	0.6639546281
79	0.6637931555
80	0.6636805763
81	0.6636098301
82	0.6634577563
83	0.6632505364
84	0.6630175887
85	0.662743267
86	0.6624863726
87	0.6623168268
88	0.6621734468
89	0.6619300247
90	0.661601596
91	0.6614311814
92	0.6612695898
93	0.6610776946
94	0.660753833
95	0.6607407885
96	0.6606429058
97	0.6604719155
98	0.6601902153
99	0.6601365797
100	0.6600103181
101	0.6598190005
102	0.6593996315
103	0.6592268643
104	0.6591862569
105	0.6590896328
106	0.6587858026
107	0.6586755606
108	0.6584441252
109	0.658269736
110	0.658165181
111	0.6579805219
112	0.6577635923
113	0.6574450205
114	0.6573201747
115	0.6573123184
116	0.6570694795
117	0.6568961251
118	0.6568211199
119	0.6567374587
120	0.6565960014
121	0.6562169236
122	0.6558326929
123	0.6556292043
124	0.6556241046
125	0.6554322893
126	0.6551912398
127	0.6549617607
128	0.6547823861
129	0.6547585668
130	0.6546024179
131	0.6544731026
132	0.6542171775
133	0.6540671356
134	0.653885735
135	0.6536941878
136	0.6535338358
137	0.6532780276
138	0.6530740785
139	0.653016286
140	0.6528689911
141	0.6528563865
142	0.6527809244
143	0.6526405798
144	0.6522824911
145	0.6521571324
146	0.6520344169
147	0.65164065
148	0.6512202509
149	0.6511026398
150	0.6510115415
151	0.6508048961
152	0.6506921731
153	0.650617068
154	0.6504280301
155	0.6501486192
156	0.6500419492
157	0.6497923881
158	0.6494627988
159	0.649327955
160	0.6490839255
161	0.6487814834
162	0.6486658183
163	0.6485630427
164	0.6483300797
165	0.6481667344
166	0.6479633781
167	0.6476695425
168	0.6474503095
169	0.6470785227
170	0.6468837583
171	0.6467263816
172	0.6466463709
173	0.646639617
174	0.6464936591
175	0.6463319786
176	0.64616116
177	0.6460171613
178	0.645614444
179	0.6455346871
180	0.6451681598
181	0.645076717
182	0.6447512774
183	0.6446475389
184	0.6442981064
185	0.6440535542
186	0.6438256876
187	0.6436438159
188	0.643482506
189	0.6434230051
190	0.643082217
191	0.6430191219
192	0.6426357981
193	0.6425276125
194	0.6424826475
195	0.6424241418
196	0.6421073331
197	0.6419481606
198	0.641858135
199	0.6416959706
200	0.6416959704
201	0.6415170244
202	0.6413431124
203	0.641112809
204	0.6407933082
205	0.6405788192
206	0.6405296111
207	0.6402364702
208	0.6398717009
209	0.6398204972
210	0.6397471644
211	0.6397263162
212	0.6395545727
