iter	Passed	Remaining
0	31	159356
1	70	177338
2	106	176985
3	140	176033
4	182	182693
5	222	185093
6	258	184332
7	294	183514
8	329	182870
9	367	183628
10	407	184772
11	444	184849
12	482	185148
13	499	177867
14	534	177683
15	571	178054
16	608	178481
17	646	178803
18	681	178541
19	717	178747
20	738	175168
21	776	175720
22	812	175774
23	852	176674
24	891	177424
25	931	178215
26	967	178178
27	1002	177973
28	1041	178576
29	1078	178733
30	1115	178726
31	1150	178579
32	1186	178611
33	1213	177177
34	1232	174862
35	1269	175000
36	1305	175096
37	1340	175027
38	1376	175161
39	1396	173210
40	1430	173065
41	1446	170767
42	1481	170804
43	1516	170815
44	1537	169296
45	1571	169285
46	1608	169523
47	1643	169582
48	1679	169702
49	1715	169848
50	1751	169971
51	1771	168584
52	1807	168674
53	1842	168736
54	1878	168889
55	1914	169002
56	1951	169234
57	1987	169333
58	2027	169805
59	2064	169960
60	2099	169960
61	2135	170059
62	2171	170198
63	2207	170272
64	2244	170425
65	2280	170513
66	2316	170553
67	2351	170560
68	2387	170601
69	2423	170679
70	2447	169945
71	2484	170055
72	2520	170119
73	2556	170196
74	2592	170264
75	2629	170387
76	2665	170425
77	2702	170509
78	2738	170572
79	2773	170581
80	2809	170609
81	2831	169819
82	2866	169813
83	2902	169866
84	2939	169985
85	2976	170066
86	3012	170114
87	3050	170298
88	3085	170265
89	3122	170332
90	3158	170360
91	3194	170424
92	3230	170458
93	3267	170528
94	3303	170563
95	3318	169517
96	3353	169490
97	3388	169491
98	3424	169530
99	3460	169583
100	3495	169569
101	3531	169573
102	3567	169609
103	3603	169627
104	3628	169161
105	3663	169141
106	3698	169151
107	3733	169102
108	3771	169254
109	3812	169479
110	3846	169441
111	3885	169571
112	3925	169760
113	3965	169971
114	4004	170122
115	4029	169651
116	4069	169840
117	4109	170002
118	4149	170182
119	4187	170299
120	4224	170328
121	4261	170380
122	4297	170378
123	4332	170367
124	4355	169878
125	4391	169867
126	4425	169823
127	4462	169848
128	4498	169851
129	4524	169489
130	4559	169452
131	4595	169461
132	4633	169561
133	4669	169579
134	4706	169596
135	4740	169549
136	4775	169507
137	4811	169504
138	4849	169576
139	4885	169582
140	4921	169591
141	4949	169321
142	4979	169134
143	5020	169295
144	5057	169337
145	5093	169349
146	5130	169371
147	5166	169368
148	5201	169354
149	5238	169365
150	5273	169330
151	5308	169303
152	5341	169232
153	5375	169167
154	5411	169151
155	5448	169188
156	5475	168896
157	5511	168912
158	5547	168908
159	5583	168893
160	5619	168887
161	5656	168915
162	5691	168881
163	5726	168851
164	5762	168860
165	5797	168828
166	5834	168836
167	5870	168835
168	5905	168824
169	5941	168803
170	5976	168761
171	6013	168791
172	6049	168798
173	6069	168347
174	6104	168308
175	6140	168291
176	6175	168266
177	6210	168254
178	6247	168250
179	6282	168229
180	6318	168222
181	6352	168176
182	6389	168193
183	6427	168220
184	6462	168197
185	6497	168161
186	6533	168168
187	6568	168128
188	6604	168108
189	6638	168070
190	6674	168047
191	6708	167995
192	6743	167959
193	6779	167950
194	6814	167921
195	6845	167776
196	6879	167737
197	6916	167743
198	6952	167738
199	6988	167728
200	6999	167119
201	7036	167140
202	7072	167126
203	7108	167113
204	7143	167082
205	7177	167043
206	7212	167003
207	7247	166962
208	7289	167106
209	7327	167133
210	7367	167213
211	7401	167165
212	7441	167240
